2018-01-01,"ストップ咳
たらちゃん無双
デザート行っちゃっていいですか？
その時、歴史が動いた
全米が泣いた
彼の挑戦はまだ始まったばかりだ
それは神様からの小さな、小さな贈り物だった
これが後の徳川家康である
答えはCMの後で
この彼こそが地球の救世主となる。しかしそれはまた別の話
お母さん、今日も◯◯は元気です
ザ・ムービー カミングスーン
こうしてアルバルス王子の人間界での生活が幕を開けた
これだって、立派な仕事です

■1日1話自分を強くする成功の教科書
東京オリンピック
卓球からの感動と学び

東京オリンピック・卓球の男女混合ダブルスの試合は多くの日本人に勇気と感動を与え、「絶対に諦めない心」「ピンチにおける集中力」の大切さを教えてくれた。"
2018-01-02,"【使いたいことば】
・ピーヒャラピーヒャラしゃべる
・年にこだわるなんてワインだけでよくない？
・恋ができるなら、失恋したって構わない
・最近時間が過ぎるのが早い。いつかおいこされてしまうんじゃないかな。
・方法は3つある
1つ目は正しいやり方
2つ目は間違ったやり方
3つ目はお前のやり方

・電車で席を譲った話

・まつげ貧乏症の話

・東京ドームでのコンサートでセコムなどの看板
・「泥洗顔料部門第1位」とゆう狭い市場

・「無人島」番組で、都合よくドラム缶とかある。
テロップを入れて欲しい

・高速道路でサイドミラーやられた

・歩いてたら前の女の人に小走りされた

・歯医者さんの胸が当たるのは、たおるを入れている

・洗剤とかのCMで必ず汚れを残す演出がある。

・後輩に怒れるか？

・世界は変えられないけど、君だけは守り「たい」
→「守る」じゃなくて「守りたい」っていう、ちょっと逃げ腰

・25歳の介護職員が70歳の女性にわいせつな行為をした。

・女の甲冑 女心をざわつかせるアイテム
    例えば赤い口紅
    オーガニック
    前髪パッツン

【別にいいんだけど】
・あったかい物を食べて、「あったまる〜」っていう人

・人生で一番つまらないデート

・幼稚園での握手と勘違いされた話

・インフルと血液型の話

・歌舞伎町で花を注文したらキャバクラにあるような花が来た

・コンビニで手を振り返された話

・裏メニューってゆう、表に出てる話

・「アンティーク」って名前のお店って、よくあるけど、全然アンティークじゃない。

・慶応と早稲田の学祭でのミスコンの話

・ホテルで眠れない。
   テレビを付けたまま寝る
   地方のCM

・静電気の話

・スーパーホテル
    枕が選べて8種類ぐらいあった

・クリスマスの話
    昔は嫌いだったけど、年をとって
    何も感じなくなった。

・髭脱毛でお姉さんが典型的だった
    男→女に変わって緊張した
    目隠しされたプレイのようだった
    髭を気にするのに鼻毛を気にしな
    いのと思われないのはツライ
    洋服を買うために洋服を買うみた
    いな

・問題は「問題」として解決する
   問題を「悩み」にすり替えてはいけ
   ない

・ジップで究極クエッション
    食の相性が合う
    笑いの相性が合う

・電車内でのツイッターの話
   自ら進んでやる人は 上の上

・エステティシャンを好きになりそうだったけど、カーディガンのすそに毛玉があって残念だった

・プリウスのレンタカーで試された

・カードの作成でいらないと言って手を振ったら、向こうもつられて手を振って来た

・女性がつける甘い香りの香水が好きなったけど、男性がつける甘い香水は嫌い

・すしの国際大会があった
    審査ポイントが
    江戸前すし:35
    創作すし:70
    合計:105 ←何か気持ち悪い
    結局日本人が1位だった。そもそも 
    出来レースでしょ？

・「あなたの為を思って〜」は、信用できない。つまり、自分を肯定されたいだけ。

・銀座線での女子高生の話
    私がおじさんに間違われた話したっけ？
     →そこが、オチでしょ！

・TBCでのMな話

・ラーメン屋での話
2人組の片方が酔ってて、絡んでた。
遅刻しがちな男の言い訳が「婆さんが川に飛び込んだ」

・青屋さんの労災の話

・次の日スズメを引いた話

■1日1話自分を強くする成功の教科書
人生で最も怖い
「まあ、いいか病」

「まあ、いいか」という言葉は、恐ろしい伝染病のようなもの。あっという間に組織に広がり、人の成長を妨げ、深刻な問題を引き起こす。決して口にしてはならない。"
2018-01-03,"1.三井住友海上火災保険の女性の話
   お茶を両手で飲む
   顔を上げて目が合うと首をかしげる
  マスクしてて、「花粉症なんです」って言ったら、「すごーい」って言われた
   コートの袖を持って「んー寒い」って言ってた
   走って追いかけたら、走る素振りをしてきた
2.フレッシュネスバーガーでの話
   ゴミ捨てたら「ありがとー」ってい  われた。しかし、その言い方が、心が篭ってて悪い気はしなかった。
3.ドトールで迷ってる男
4.ドトールで寝てたのに、今日中に、終わらせますと発言した

・モンダミンのCM
彦星まで17光年離れてるから、願いが叶うまでに最短で34年かかるんだって、って兄に言ったら、 
「のぞみはひかりよりも速いんだよ」って返された。 

「　　　　　　　　」 
 
1　　 以下、名無しにかわりましてVIPがお送りします2009/05/24(日) 15:00:00.10 ID:Nq5+a4bv0 (PC) 
スレタイは俺の心を表してる 
 
3　　 以下、名無しにかわりましてVIPがお送りします2009/05/24(日) 15:01:23.48 ID:T/N23xq10 (PC) 
中身のない人間がかっこつけんな 


彼氏とかけまして円周率と説きます(´；ω；`)  

1： 以下、名無しにかわりましてVIPがお送りします 投稿日：2012/03/14(水) 00:18:20.98 ID:A97Twxp80 
そのこころは”さいし”持ちでしょう(´；ω；`)  
（妻子、３．１４）  

2： 忍法帖【Lv=7,xxxP】 投稿日：2012/03/14(水) 00:18:46.02 ID:1TouRqUK0 
でも割り切れないんだよな 

・大宮駅がJR東の住みたい駅ランキングで1位になった。
→ジップで特集してて、街の人がデパートがたくさんあって「見やすい」と言ってた

■1日1話自分を強くする成功の教科書
強い言葉が
強い結果を生む

スポーツでもビジネスでも、本当に結果を出す人たちは「強い言葉」を使っている。強い言葉とは、自信と欲しい結果を堂々と表明する言葉である。"
2018-01-04,"■1日1話自分を強くする成功の教科書
勝者の言葉を使い、
敗者の言葉を避けよう

メンタルトレーニングに解いて、言葉は特に大切である。スポーツ選手はプラスの言葉を使うと強くなり、マイナスの言葉を使うと弱くなる。"
2018-01-05,"■1日1話自分を強くする成功の教科書
成功するイメージを
持ち続ける方法とは？

どんなん小さなことでも成功に向かって行動し続けると、脳はその行動を成功に向かうものとして自動的に正当化する。結果として、より成功のイメージが強化する。"
2018-01-06,"■1日1話自分を強くする成功の教科書
目標が高ければ高いほど
人は成長する

人間お成長の限界は、その人が持つ目標の高さによって決まる。
すなわち、とてつもない目標を掲げる人は、とてつもない成長を遂げる可能性が高い。"
2018-01-07,"■1日1話自分を強くする成功の教科書
イキイキと働くために
途方もない目標を立てる

実現不可能に思える高い目標を立てると、終わりのない努力とくふうが求められる。結果として、私たちはどんどん変化・成長し、イキイキと働くことができる。"
2018-01-08,"■1日1話自分を強くする成功の教科書
汗をかくことで
知恵が出る

人生に必要なものは、目標と努力の2つ。今はまだ目標が見つからなくても、努力を続けていれば、やがて素晴らしい目標を発見できる。"
2018-01-09,"■1日1話自分を強くする成功の教科書
運がいい人とは
いい習慣を身につけた人

運がいい人、ツイてない人とは、落ちているゴミを見て見ぬふりをしない
別れ際に感謝の言葉を伝えるといった「いい習慣」を身につけた人である"
2018-01-10,"■1日1話自分を強くする成功の教科書
いい習慣は良縁と幸運をもたらす

さまざまないい習慣を身につけると、それがやがて良い出会いのきっかけになる。そして人との出会いこそが、人生の幸運のカギとなる"
2018-01-11,"■1日1話自分を強くする成功の教科書
己を信じ、人を信じ、
そして人に信じられる人へ

そんな危機的状況でも自分や仲間を信じ、決めた道を貫くことが大切。
そうした行動を取り続けることで、やがて多くの人から信頼されるようになる。"
2018-01-12,"■1日1話自分を強くする成功の教科書
自分を信じる勇気で
運をつかむ

幸運をつかめるかどうかは、勇気を持って決断を下せるかどうかにかかっている。
とことん悩み。検討し尽くした後は、自分を信じて実行あるのみ。"
2018-01-13,"■1日1話自分を強くする成功の教科書
チャンスをつかむ絶対法則
「自分は運がいい」

「自分は運がいい」と信じることから、全ては始まる。失敗することを考えず、明るく・元気に・素直に生きていれば、必ず幸運に恵まれる。"
2018-01-14,"■1日1話自分を強くする成功の教科書
チャンスをつかむ絶対法則
気を発している人と付き合う

運のいい人（＝気を発している人）と付き合い、日頃から努力を怠らず、感謝と恩返しの気持ちを忘れない。それが運をつかみ、幸せになる極意である。"
2018-01-15,"■1日1話自分を強くする成功の教科書
努力の量は質に変換される

効率ばかりを追い求め、短時間の努力をするだけでは、決して手の届かない領域がある。突き抜けた努力は、いつしか誰も追いつけないほどの「質」に変わる。"
2018-01-16,"■1日1話自分を強くする成功の教科書
大きな使命感を持つと、
それが情熱となる

高い目標を達成するには、人並外れた努力をしなければならない。努力に必要なのは情熱であり、その情熱の源は使命感である。"
2018-01-17,"■1日1話自分を強くする成功の教科書
人生を決めるのは
能力ではなく諦めない心

スポーツでもビジネスでも、結果を左右するのは素質や能力ではない。
すべては最後まで諦めず、工夫と努力を続けられるかどうかで決まる。"
2018-01-18,"■1日1話自分を強くする成功の教科書
人間の成長には
踊り場がある

人間の成長曲線は、どんな分野でも階段状になっている。成長を実感できない日々が続いていも、諦めずに努力すれば必ず壁を乗り越え、大きく飛躍することができる。"
2018-01-19,"■1日1話自分を強くする成功の教科書
偉業を支えた人を讃え、
その生き方に学ぼう

スポーツやビジネス、医学など、さまざまな世界で成し遂げられた偉業には、それを影から支えた人たちがいる。その人たちから学べる事は多い。"
2018-01-20,"■1日1話自分を強くする成功の教科書
感謝とユーモアに満ちた
山中教授のスピーチ

iPS細胞の発見でノーベル賞を受賞された山中教授のスピーチは、ユーモアと感謝に満ちており、多くの聴衆を魅了した。私たちも、そのエッセンスを少しでも学ぼう。"
2018-01-21,"■1日1話自分を強くする成功の教科書
明るさと元気が
強さにつながる

明るく元気に生きる事で、脳内に快楽物質「ドーパミン」が分泌される。
ドーパミンは物事に取り組む意欲を高め、集中力をアップさせるなどの効果がある。"
2018-01-22,"■1日1話自分を強くする成功の教科書
「明・元・素」が
チャンスを呼び込む

「明るさ」「元気の良さ」に多くの人は魅力を感じる
その結果、人脈に恵まれ、幸運にも恵まれやすくなる。"
2018-01-23,"■1日1話自分を強くする成功の教科書
「明・元・素」で生きる人の元には多くの人が集まる

素直に生きる人は、周囲の助言や応援をまっすぐに受け取ることができる。
それにより大きく成長し、人生のチャンスをつかんで幸せになれる。"
2018-01-24,"■1日1話自分を強くする成功の教科書
言葉は人生を
左右するカギである

人間の意識は言葉によって左右される。つまり、人生は言葉によってつくられていると言ってもいい。日常で使う言葉や思い浮かべる言葉に注意しなければならない。"
2018-01-25,"■1日1話自分を強くする成功の教科書
勝利するのはいつも「勝者の言葉」を使う者

勝者の言葉とは、積極的で勝利に対する意欲に満ちた言葉のこと。スポーツの世界でもビジネスの世界でも、勝つのは必ず勝者の言葉を使っている者である。"
2018-01-26,"■1日1話自分を強くする成功の教科書
明るく前向きな言葉で
人は成長する

明るく前向きな言葉は心の栄養のようなもの。そのような言葉に数多く触れることで心は活性化され、結果としては人間は大きく成長できる。"
2018-01-27,"■1日1話自分を強くする成功の教科書
人間の幸福と不幸を決めるものはなんですか？

不運な出来事があったとき、それを不幸の引き金にするか。幸せに向かうバネとするかは本人の考え方・生き方次第。まずは「不運にくじけない心が大切である。"
2018-01-28,"■1日1話自分を強くする成功の教科書
自分は運がいいと思い込もう！

人間は素質・環境・出会いという3つの運に影響される。しかし、「自分は運がいい」という信念を持てば、誰でも幸運に恵まれることができる。"
2018-01-29,"■1日1話自分を強くする成功の教科書
感謝の心を忘れなければ
決して天は見放さない

運を良くするには、「自分は運がいい」と思い込むだけではなく、「感謝の心」も大切にしなければならない。あらゆるものに感謝できる人こそ、最も幸運な人である。"
